storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
8eb647c6-cdfa-416a-b4a2-09b24f44dcc5,Kelly Made Pizza,Kelly found her grandmother's pizza recipe in a shoebox of memories.,Kelly reminisced about how much she loved her grandmother's pizza.,Kelly decided that she was going to try to make pizza.,Kelly studied the recipe and gathered everything she needed.,Kelly successfully made a pizza from her grandmother's recipe.
e0cab669-993a-41be-978f-97795be07197,Embarrassing Hair,Leo wore a toupee and was anxious about it.,He decided to go out for a short walk.,"It was a very windy day, but he wasn't too concerned.","Suddenly, a strong wind came through and took his toupee!","His dog leaped and caught it, and he quickly ran home."
ad2236b7-de48-45a2-838b-25f166bdee90,Grill Master,Jimmy was a master with his grill.,He spent every weekend getting better with his grill.,"One day he was offered a TV show about grilling on a local channel,",Jimmy accepted the job in an instant.,He quit his day job and spent all his time grilling.
500fe4a4-f7c4-4f46-96ee-e010467b069f,Ice Skating,Tom and Beth were dating.,Tom wanted to go on a fun date.,Tom suggested ice skating.,His date was excited and they went ice skating.,Tom and Beth grew closer during their ice skating date.
522f2bc3-3bb1-4f68-8e99-5b2abd016854,Bad friend 1,I had a friend that I didn't know well but let her over my house.,She paid rent then asked for some of it back.,She drinks my juice and eats my food.,She also makes a huge mess and is very sloppy.,She got kicked out in two weeks.
03508cbb-1f30-4fce-9788-3523a5a8568b,Sports fanatic,Matthew grew up with a dad that pushed him in sports.,He thought he would grow up to be an athlete.,Once he grew up he realized he wanted to do other things.,His dad was very angry.,Their relationship got bad and they no longer talked.
07126538-bbde-413f-b8ca-c8327bf4ea4e,Slick Road,Tom was driving on a rainy night.,The road was slicker than he thought.,Tom hit a watery oily patch.,He spun out of control and hit a tree.,Tom was paralyzed from the neck down.
63a1ed11-4eb9-4ae8-ad7b-8928f30a36c9,Mango,She had a sudden craving for mangoes.,She went to the store looking for some.,She found some that were very ripe.,The sweet flavor was pungent and satisfying.,She ate them for every meal that day.
c36e3440-6c49-4338-8283-74ab8da127fc,Jared,Jared liked to fish with his dad every Saturday.,He and his dad would go out early so they could eat their catch.,Jared's dad got sick and could no longer go fishing.,Jared still got up early on Saturday to hang out with his dad.,Jared discovered his dad's companionship was most important.
4835f5c1-cfd7-4559-aa37-36793502f828,Walking in the show,Susie needed models for her catwalk.,So she commissioned Rachel.,Rachel was thrilled.,But the day of the show she tripped.,She was so embarrassed.
9b323bab-bc98-4699-94d6-cf276296e205,Business Conference,Jonathan dressed up in a formal attire before leaving the house.,"When he came into the building, the leader showed him where to go.",He came into the conference room.,The organization was discussing new ideas for an upcoming project.,The conference became successful when we developed an agenda.
784047bc-7584-4e6a-985d-3129b7f9e5cd,Acoustic Guitar,Elaine felt that acoustic guitars were always superior to electric.,She started an all-acoustic band.,"After a year of low returns, the band was re-tooling their formula.",They voted to include an electric guitarist.,Elaine quit the band in a huff.
c027503d-c55d-4deb-a98a-033d196eca89,Figure Skating,Cathy loved watching figure skating.,Cathy dreamed of watching figure skating live.,Cathy saw a flyer where former skaters were holding an event.,Cathy decided to purchase a ticket to the figure skating event.,Cathy could not wait to see the skaters at the event.
e992ccaa-a983-4395-add1-972c7cd6fcca,Makeup Commercial,Amy was watching television when a commercial for makeup came on.,Amy liked the commercial and wondered what brand her makeup was.,Amy looked in all the places she kept toiletries for her foundation.,When she found the bottle it was empty.,The commercial convinced Amy and she left to buy the makeup.
6fd3089f-6188-41ba-afbf-331cf13ff7b0,Computer Problems,Jim could not get the computer to work.,"No matter what he tried, nothing would come up on the monitor.",He could hear the computer running.,Finally he asked his dad to come take a look.,His dad quickly discovered the monitor brightness was turned down.
59455abe-3341-47e8-8e83-5cc493c9caa8,Fur Clients,Rina is a dog-walker.,She loves dogs more than anything else.,She looks forward to work every day.,Rina is so happy when she takes out her little furry clients.,She is so thankful for her job.
4147f828-03b7-4f6b-955a-587ef1872ff8,Typing Test,I really wanted an online transcription job.,I practiced and practiced my touch typing for weeks.,I finally decided to log on to take the application typing test.,As I began I realized it had the same paragraphs I'd been practicing.,"I breezed through it easily, securing the job."
0c602202-7ae6-4d98-8aa8-221bc32aba91,Discomfort,Gina's brother Jay had been out of the house.,Now he was back.,He'd fought their father.,Their dad was a foot taller and 50 pounds bigger.,Gina no longer felt safe with him around.
ed2c0dae-7f87-4c4d-83b0-7c96c8f85d88,Speech Interrupted,Ben was giving advice to the elementary students.,He recommended several tips when choosing a career.,"However, one side of the stage curtains fell.",He ended up getting hit by the curtains.,The staff helped him get up.
73e41d73-c356-4277-9817-17503517e81a,Show Off,Jerry spent thousands of dollars on a high end computer.,He also bought a new desk and several gaming peripherals.,He took pictures of everything and posted them on a gaming forum.,And everyone was impressed by Jerry's room and new computer.,Jerry felt proud of everything he bought.
a3aec893-cfab-467c-9d7d-d54c3c1f9194,Playing Animal Crossing,One of my favorite games as a kid was Animal Crossing.,"The day I got that game as a gift as a kid, I started playing it.","It took me about a year to complete the game, but it was worth it.",Having a little world full of nice animals and building a home was fun.,I will never forget that game.
78c9a643-af7e-459f-86c9-21ce6c685330,What is the capital again?,In my fourth grade social studies class we had to learn the capitals.,We eventually had a test and I did the best that I could.,Nonetheless I couldn't remember all the answers!,"As we were passing the tests in, I saw another student's answers.","This reminded me of the capitals and I was tempted to cheat, and did."
f543b5ff-48d7-40a1-a0bd-cc36f97af7e9,Batman,Caleb dressed as Batman for halloween.,He ordered a costume that looked really cool.,The chest part was extra huge on him.,It made it difficult for him to move around.,He had trouble carrying his trick or treat bag because of it.
a2ef9a68-910d-4741-b9f0-962d37cb26d8,George Gets Sick,George was feeling a bit sick.,He called in sick from work.,George could not even get out of his bed.,His cat kept him company while he laid in bed.,George was able to get over his sickness after a few days.
8a3593de-0acb-4a88-920b-82f1d8b28f6b,Motorcycle,Eli got a new motorcycle last summer.,He took it out for a ride one hot afternoon.,Eli rode to his friend's house.,His friend got out his motorcycle.,The two of them rode together for hours.
f2c1903d-9030-4bbc-b2bb-8a06f1ac9f41,Bipolar Disorder,Tom met a girl he really liked.,She was fun and full of energy.,Upon meeting her again tom noticed she was acting way different.,He realized she would be manic at times and depressed at others.,She told him about her bipolar disorder and he understood.
e4be4ce2-cad8-4dcc-b1be-a935e1a6a2b7,Days,Joseph wanted to stop working days and work nights at his factory job.,He asked his boss about but said there was nothing available.,John's friend Mike approached him and asked him if they could switch.,They both went to the boss and the boss said yes.,Now both John and Mike are happier.
70c5948a-097f-4fd7-865c-228ab6bf5d1f,Dan's Poker Game,Dan invited his friends to his house to play poker.,They all agreed to play for pennies.,The pot eventually got to five dollars.,When Dan got his next hand he knew for sure he'd win the pot.,"On his next turn, he played a Royal Flush and collected the jackpot."
8cf8896d-73bf-4649-9640-caa04f3b451c,Camp Love,Becky went to summer camp when she was 16.,She met a guy that she really liked.,They fell in love and started to date.,Becky never felt that way before.,When camp was over they broke up.
